Producto,Categoria,Precio,Cantidad,Cliente,Ciudad,Pais,Fecha
Tourtière,Meat/Poultry,"5,9",18,Vaffeljernet,Århus,Denmark,29/12/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"16,8",15,Vaffeljernet,Århus,Denmark,29/12/2015
Original Frankfurter grüne Soße,Condiments,"10,4",7,Vaffeljernet,Århus,Denmark,29/12/2015
Sir Rodney's Scones,Confections,8,5,Ernst Handel,Graz,Austria,30/12/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",35,Ernst Handel,Graz,Austria,30/12/2015
Rössle Sauerkraut,Produce,"36,4",13,Ernst Handel,Graz,Austria,30/12/2015
Ravioli Angelo,Grains/Cereals,"15,6",25,Ernst Handel,Graz,Austria,30/12/2015
Thüringer Rostbratwurst,Meat/Poultry,99,20,Split Rail Beer & Ale,Lander,USA,2/1/2015
Gnocchi di nonna Alice,Grains/Cereals,"30,4",18,Split Rail Beer & Ale,Lander,USA,2/1/2015
Chai,Beverages,"14,4",15,Chop-suey Chinese,Bern,Switzerland,3/1/2015
Wimmers gute Semmelknödel,Grains/Cereals,"26,6",30,Chop-suey Chinese,Bern,Switzerland,3/1/2015
Longlife Tofu,Produce,8,20,Chop-suey Chinese,Bern,Switzerland,3/1/2015
Inlagd Sill,Seafood,"15,2",6,La maison d'Asie,Toulouse,France,3/1/2015
Mozzarella di Giovanni,Dairy Products,"27,8",42,Queen Cozinha,São Paulo,Brazil,4/1/2015
Camembert Pierrot,Dairy Products,"27,2",70,Queen Cozinha,São Paulo,Brazil,4/1/2015
Sir Rodney's Marmalade,Confections,"64,8",12,Queen Cozinha,São Paulo,Brazil,4/1/2015
Côte de Blaye,Beverages,"210,8",40,Queen Cozinha,São Paulo,Brazil,4/1/2015
Escargots de Bourgogne,Seafood,"10,6",80,Hungry Owl All-Night Grocers,Cork,Ireland,5/1/2015
Fløtemysost,Dairy Products,"17,2",50,Hungry Owl All-Night Grocers,Cork,Ireland,5/1/2015
Escargots de Bourgogne,Seafood,"10,6",15,Wolski  Zajazd,Warszawa,Poland,5/1/2015
Gorgonzola Telino,Dairy Products,10,30,Wolski  Zajazd,Warszawa,Poland,5/1/2015
Tourtière,Meat/Poultry,"5,9",10,Hungry Coyote Import Store,Elgin,USA,6/1/2015
Tofu,Produce,"18,6",15,Hungry Coyote Import Store,Elgin,USA,6/1/2015
Gorgonzola Telino,Dairy Products,10,42,Mère Paillarde,Montréal,Canada,9/1/2015
Rössle Sauerkraut,Produce,"36,4",20,Seven Seas Imports,London,UK,9/1/2015
Chartreuse verte,Beverages,"14,4",20,Seven Seas Imports,London,UK,9/1/2015
Fløtemysost,Dairy Products,"17,2",6,Folk och fä HB,Bräcke,Sweden,10/1/2015
Vegie-spread,Condiments,"35,1",16,Que Delícia,Rio de Janeiro,Brazil,11/1/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"16,8",20,Que Delícia,Rio de Janeiro,Brazil,11/1/2015
Jack's New England Clam Chowder,Seafood,"7,7",8,Que Delícia,Rio de Janeiro,Brazil,11/1/2015
Perth Pasties,Meat/Poultry,"26,2",20,Hungry Owl All-Night Grocers,Cork,Ireland,12/1/2015
Camembert Pierrot,Dairy Products,"27,2",6,Hungry Owl All-Night Grocers,Cork,Ireland,12/1/2015
Outback Lager,Beverages,12,30,Hungry Owl All-Night Grocers,Cork,Ireland,12/1/2015
Nord-Ost Matjeshering,Seafood,"20,7",18,Hungry Owl All-Night Grocers,Cork,Ireland,12/1/2015
Longlife Tofu,Produce,8,14,LILA-Supermercado,Barquisimeto,Venezuela,12/1/2015
Thüringer Rostbratwurst,Meat/Poultry,99,14,Ernst Handel,Graz,Austria,13/1/2015
Geitost,Dairy Products,2,60,Ernst Handel,Graz,Austria,13/1/2015
Carnarvon Tigers,Seafood,50,9,Ernst Handel,Graz,Austria,13/1/2015
Chef Anton's Gumbo Mix,Condiments,17,32,Ernst Handel,Graz,Austria,13/1/2015
Longlife Tofu,Produce,8,50,Ernst Handel,Graz,Austria,13/1/2015
Konbu,Seafood,"4,8",20,Around the Horn,Colchester,UK,16/1/2015
Valkoinen suklaa,Confections,13,15,Around the Horn,Colchester,UK,16/1/2015
